Lag,Bot1_Completion_Time,Bot2_Completion_Time,Bot1_Avg_Control,Bot2_Avg_Control,Bot1_Avg_Angle_Error,Bot2_Avg_Angle_Error
0,47.66,47.64,0.2634173757374631,0.24569223867069487,20.662243244100296,19.372510733467607
10,52.49,52.46,0.4939057436460621,0.24741393841463416,82.72469693128333,19.469034600304877
20,52.48,52.44,0.45184064328859064,0.24889590667886552,48.686030020134226,19.545003211954864
30,52.48,52.46,0.4572095414402174,0.24560542652439027,49.267424752377714,19.38100851554878
40,52.52,52.51,0.47533958581606217,0.2471424441060006,68.02856255051813,19.277563196771244
50,50.92,52.46,0.39351012272220154,0.2866282149390244,54.678836481963565,23.79458972286585
60,52.51,52.49,0.47601535477582846,0.251354578305911,68.52454052956466,19.74430764046313
70,52.51,52.48,0.46094495285669684,0.2566696845473941,81.6073744399001,20.194175192319413
80,52.49,52.48,0.4762340143266476,0.2522974657116733,171.66272558771092,19.817307809814082
90,52.51,52.48,0.477995676957352,0.2457599905516611,176.25794371896882,19.233568737580008
100,52.51,52.49,0.42301533485593823,0.2778082419256551,106.40470231939564,23.306152817489338
110,52.49,52.48,0.4669405399440473,0.2507636680889973,172.69721286882188,19.739989427003962
120,52.54,52.51,0.47435437900874633,0.24846233658239417,356.06937286038226,19.535244119707585
130,52.49,52.48,0.4727628333881039,0.24442428405973787,267.42516328984556,19.28417615757391
140,52.49,52.48,0.47450763779781063,0.2504137067967083,354.4196261104314,19.6033819323377
150,52.51,52.49,0.4929276461211477,0.25185520658135285,94.26681758342188,19.825336647471055
160,52.51,52.49,0.4874753696774194,0.252824218464351,645.3141131916128,19.851889801645335
170,52.52,52.51,0.4743149252336449,0.25223794913189157,541.391622893329,19.762684230886382
180,52.51,52.48,0.47312041475990974,0.25218244955806157,541.1844877257492,19.738057347455044
190,52.49,52.46,0.4656914695259593,0.2498094911585366,543.8111623447276,19.7251342125
200,52.52,52.51,0.48430068384754993,0.2559077212915017,434.2393629655173,20.073198856229055
210,52.52,52.51,0.4710025372062663,0.2410803505939689,546.6000043097259,18.77351712062138
220,52.54,52.51,0.4705393031704095,0.24780664971063052,325.34012152113604,19.407014257386535
230,52.49,52.48,0.49188053252032515,0.2571008399878086,546.2254150919325,20.474946134410242
240,52.51,52.49,0.47184705507051716,0.24949182693479585,52.190532910678314,19.51310228275442
250,52.51,52.49,0.48318617362393795,0.2485657038391225,67.6345443420761,19.53601191224863
260,52.51,52.49,0.4644230220707562,0.24935516849482026,51.30983225283998,19.741563861974406
270,52.52,52.49,0.4880635164698571,0.25292497806215725,566.6521136575512,19.789379827848872
280,52.51,52.49,0.488283982576229,0.2532206218769043,566.3854355444929,19.826751243449117
290,52.51,52.49,0.4869682574288396,0.2502171505179769,503.9187453337504,19.568636040524073
300,52.51,52.49,0.4726502584507043,0.24469057647775747,545.6212102299295,19.249254278488728
