,Bot1_Time,Bot1_Time,Bot2_Time,Bot2_Time,Bot1_Steering_Effort,Bot1_Steering_Effort,Bot2_Steering_Effort,Bot2_Steering_Effort,Bot1_Angle_Error,Bot1_Angle_Error,Bot2_Angle_Error,Bot2_Angle_Error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Lag,,,,,,,,,,,,
0,44.98633333333333,0.05075181894707654,44.31333333333334,0.14496927934574078,0.343157439292174,0.0032606739592922103,,,157.43826829715107,4.678199398026202,,
10,47.617333333333335,1.0725507248942887,44.132,0.1634414373660363,0.47023135798434657,0.03738232985701326,,,172.17243459500676,5.762465605248702,,
20,48.24103448275862,0.9479125367563724,44.15896551724138,0.19297195998357247,0.4869346976920716,0.02762977411777956,,,167.1519516892212,4.501185910869401,,
30,48.404666666666664,0.5368987147358968,44.13,0.1830583099113128,0.49120851440753377,0.016704175605020903,,,167.94254721229652,3.988954816461959,,
40,48.461,0.5687393803479945,44.12466666666667,0.21906908583324985,0.4861471551993963,0.017222218197496933,,,163.27737326102607,2.9194671397722196,,
60,49.037666666666674,0.7509841053156742,44.176,0.18170836809151866,0.4962152480365764,0.017818827297306463,,,170.71729257675443,5.846782943252626,,
70,48.966,1.4613045659556252,44.177,0.1954684911551799,0.4717504293349186,0.03474533868391623,,,169.0734193955665,9.649744316622687,,
80,49.52166666666667,1.394353349896582,44.167,0.19010251317970844,0.486469750613746,0.034615620858261,,,168.29801030518763,8.710326700182181,,
90,50.23413793103448,1.2191259083029806,44.177241379310345,0.09353748491243467,0.4910959838350411,0.028217513688332644,,,165.0510915454577,6.115472135639234,,
110,51.464375,0.784669516420766,44.230625,0.14525695623044488,0.5095796990734986,0.015484617464026879,,,170.53749954853063,5.460304612332814,,
120,51.15375,1.267347483075239,44.1575,0.15682109916352846,0.5754028153295789,0.1355322922781725,,,163.27612919222645,13.199971256166117,,
130,50.48499999999999,0.8993942405864063,44.225,0.22331591971912962,0.4897823298982175,0.02114653301854177,,,169.4271758192542,6.614800492896328,,
140,51.1,1.208919233979555,44.025,0.1691997973656356,0.5141586385378527,0.10166272076834776,,,169.15065318244368,6.474702913867508,,
