Times,Angle,Cur,Diff,Control
00:05.16,30.499311,60.0,-29.500689,1.475034
00:05.18,60.109661,59.0,1.109661,0.793
00:05.20,60.185604,58.0,2.185604,0.081539
00:05.21,60.279606,56.0,4.279606,0.15934
00:05.23,60.394222,54.0,6.394222,0.212721
00:05.24,60.532898,52.0,8.532898,0.266789
00:05.26,60.6782,51.0,9.6782,0.270588
00:05.28,60.832954,49.0,11.832954,0.349693
00:05.29,60.999664,48.0,12.999664,0.354159
00:05.31,61.181309,47.0,14.181309,0.384074
00:05.32,61.380024,47.0,14.380024,0.364468
00:05.34,61.598488,46.0,15.598488,0.420424
00:05.36,61.838383,46.0,15.838383,0.401957
00:05.37,62.102936,46.0,16.102936,0.409187
00:05.39,62.393597,47.0,15.393597,0.367106
00:05.40,62.712654,47.0,15.712654,0.400793
00:05.42,63.062168,48.0,15.062168,0.360292
00:05.44,63.444645,49.0,14.444645,0.345678
00:05.45,63.861488,50.0,13.861488,0.331958
00:05.47,64.315903,51.0,13.315903,0.319258
00:19.55,149.627258,111.0,38.627258,1.5
00:26.30,-26.771826,301.0,32.22818,0.645728
00:26.32,-26.23958,301.0,32.760406,0.832316
00:26.33,-25.695652,301.0,33.304352,0.846207
00:26.35,-25.146324,301.0,33.853668,0.860075
00:26.36,-24.59199,302.0,33.40802,0.824059
00:26.38,-24.032869,303.0,32.967133,0.813156
00:26.40,-23.468929,304.0,32.531067,0.802375
00:26.41,-22.899817,305.0,32.100189,0.791733
00:26.43,-22.325926,307.0,30.674072,0.731199
00:26.44,-21.74786,309.0,29.252136,0.695755
00:41.84,-8.361646,0.0,-8.361646,1.149386
00:41.85,-8.508613,0.0,-8.508613,0.216389
00:41.87,-8.661171,0.0,-8.661171,0.220343
00:41.88,-8.810733,0.0,-8.810733,0.224007
00:41.90,-8.962378,359.0,-7.962372,0.17785
00:41.92,-9.115932,359.0,-8.115936,0.206738
00:41.93,-9.271134,358.0,-7.271149,0.160659
00:41.95,-9.427519,357.0,-6.427521,0.139597
