Times,Angle,Cur,Diff,Control
14:09:16,150.385132,141.0,9.385132,0.469257
14:09:16,150.728531,143.0,7.728531,0.151798
14:09:16,151.056686,145.0,6.056686,0.109621
14:09:16,151.368668,147.0,4.368668,0.067016
14:09:16,151.665268,149.0,2.665268,0.024047
14:09:17,151.945374,151.0,0.945374,0.019363
14:09:17,152.208389,153.0,-0.791611,0.063215
14:09:17,152.453339,155.0,-2.546661,0.107543
14:09:17,152.679199,156.0,-3.320801,0.102374
14:09:17,152.885147,158.0,-5.114853,0.172723
14:09:17,153.070511,159.0,-5.929489,0.168603
14:09:17,153.243317,160.0,-6.756683,0.189597
14:09:17,153.403656,161.0,-7.596344,0.2109
14:09:17,153.551315,161.0,-7.448685,0.182526
14:09:17,153.6866,162.0,-8.3134,0.229453
14:09:17,153.809875,162.0,-8.190125,0.201671
14:09:17,153.921814,161.0,-7.078186,0.149156
14:09:17,154.023468,161.0,-6.976532,0.171872
14:09:17,154.116028,161.0,-6.883972,0.169785
14:09:17,154.200089,160.0,-5.799911,0.117896
14:09:17,154.277802,159.0,-4.722198,0.091112
14:09:17,154.350861,158.0,-3.649139,0.064402
14:09:17,154.420532,157.0,-2.579468,0.037745
14:09:17,154.818039,155.0,-0.181961,0.055389
14:09:17,155.196808,153.0,2.196808,0.114389
14:09:36,-91.136436,254.0,14.863556,0.688258
14:09:36,-89.202438,256.0,14.797546,0.368288
14:09:36,-87.250557,257.0,15.749451,0.417534
14:09:36,-85.284508,259.0,15.715485,0.392038
14:09:36,-83.305519,261.0,15.694489,0.391837
14:09:36,-81.316597,262.0,16.683411,0.441808
14:09:37,-79.320847,264.0,16.679138,0.416872
14:09:37,-77.321381,265.0,17.678619,0.466953
14:09:37,-75.322044,267.0,17.677948,0.441932
14:09:37,-73.325394,268.0,18.674622,0.491782
14:09:37,-71.334564,270.0,18.665436,0.466406
14:09:37,-69.351753,271.0,19.648254,0.515777
14:09:37,-67.378464,272.0,20.621521,0.53987
14:09:37,-65.415985,273.0,21.584015,0.563663
14:09:37,-63.465916,274.0,22.534088,0.587104
14:09:44,85.245247,77.0,8.245247,0.15109
14:09:44,87.31337,79.0,8.31337,0.209537
14:09:44,89.424141,81.0,8.424141,0.213373
14:09:44,91.579613,82.0,9.579613,0.268377
14:09:44,93.778008,84.0,9.778008,0.24941
14:09:44,96.018127,85.0,11.018127,0.306456
14:09:44,98.297913,87.0,11.297913,0.289442
14:09:44,100.616425,88.0,12.616425,0.348373
14:09:44,102.972267,89.0,13.972267,0.383203
14:09:44,105.365959,91.0,14.365959,0.368991
14:09:44,107.797028,92.0,15.797028,0.430702
14:09:53,-16.949625,352.0,-8.949615,0.842407
14:09:53,-16.822166,354.0,-10.822174,0.317368
14:09:53,-16.724171,356.0,-12.724182,0.365655
14:09:53,-16.636486,357.0,-13.636475,0.363719
14:09:53,-16.566734,358.0,-14.566742,0.387425
14:09:53,-16.516237,359.0,-15.516235,0.411643
