Times,Angle,Cur,Diff,Control
00:05.40,69.151039,68.0,1.151039,0.057552
00:05.42,69.318794,68.0,1.318794,0.037164
00:06.28,170.065918,142.0,28.065918,1.370326
00:06.30,170.69429,144.0,26.69429,0.633067
00:06.32,171.31102,146.0,25.31102,0.598194
00:06.33,171.911545,147.0,24.911545,0.612802
00:06.35,172.498657,149.0,23.498657,0.552144
00:06.36,173.071793,151.0,22.071793,0.516123
00:06.38,173.630157,153.0,20.630157,0.479713
00:06.40,174.173431,155.0,19.173431,0.442918
00:06.41,174.700851,157.0,17.700851,0.405707
00:06.43,175.212143,158.0,17.212143,0.418086
00:06.44,175.706802,160.0,15.706802,0.355037
00:06.46,176.18483,162.0,14.18483,0.316571
00:06.48,176.645798,164.0,12.645798,0.277669
00:06.49,177.089783,165.0,12.089783,0.288344
00:06.51,177.516708,167.0,10.516708,0.223591
00:06.52,177.926865,168.0,9.926865,0.233426
00:06.54,178.320175,170.0,8.320175,0.167837
00:12.32,-92.481659,258.0,9.518341,0.267913
00:12.33,-90.790817,260.0,9.209167,0.2225
00:12.35,-89.086479,262.0,8.913513,0.215446
00:12.36,-87.368698,264.0,8.631287,0.208726
00:12.38,-85.638618,265.0,9.361389,0.252287
00:12.40,-83.89782,267.0,9.102173,0.221074
00:12.41,-82.147385,268.0,9.8526,0.265076
00:12.43,-80.388748,270.0,9.611267,0.234248
00:12.44,-78.621391,271.0,10.378601,0.278648
00:12.46,-76.846031,272.0,11.153961,0.298233
00:12.48,-75.062576,273.0,11.937439,0.318023
00:12.49,-73.270676,274.0,12.729309,0.33803
00:19.53,69.175278,84.0,-14.824722,1.059469
00:19.55,68.916389,83.0,-14.083611,0.333562
00:19.56,68.616516,83.0,-14.383484,0.367084
00:19.58,68.299042,82.0,-13.700958,0.325461
00:33.93,148.959656,107.0,41.959656,1.5
00:33.95,149.537064,108.0,41.537064,1.027862
00:47.53,66.768486,59.0,7.768486,0.650002
00:47.55,66.843742,59.0,7.843742,0.197975
00:47.56,66.923477,59.0,7.923477,0.20008
00:47.58,66.994217,60.0,6.994217,0.151624
00:47.60,67.061623,60.0,7.061623,0.178226
00:47.61,67.125381,60.0,7.125381,0.179729
00:47.63,67.185959,61.0,6.185959,0.131163
00:47.64,67.241653,62.0,5.241653,0.107434
00:47.66,67.291679,63.0,4.291679,0.083543
00:47.68,67.337326,63.0,4.337326,0.109574
00:47.69,67.376129,64.0,3.376129,0.060373
00:47.71,67.408218,65.0,2.408218,0.036008
00:47.72,67.431786,66.0,1.431786,0.011384
00:47.74,67.446625,67.0,0.446625,0.013463
00:47.76,67.451965,68.0,-0.548035,0.038567
00:47.77,67.446686,68.0,-0.553314,0.013965
00:47.79,67.430046,69.0,-1.569954,0.064665
00:47.80,67.400963,70.0,-2.599037,0.090703
00:47.82,67.358727,71.0,-3.641273,0.117088
00:47.84,67.302307,72.0,-4.697693,0.143853
00:47.85,67.230934,73.0,-5.769066,0.171011
00:47.87,67.162376,73.0,-5.837624,0.147655
00:47.88,67.095078,73.0,-5.904922,0.149306
00:47.90,67.029297,74.0,-6.970703,0.200912
