Times,Angle,Cur,Diff,Control
00:29.16,-164.988266,200.0,-4.988281,0.168034
00:29.18,-164.735092,201.0,-5.735107,0.162048
00:29.20,-164.486847,202.0,-6.486847,0.180965
00:29.21,-164.243073,203.0,-7.243073,0.199982
00:29.23,-164.005051,204.0,-8.005066,0.219176
00:29.24,-163.772064,204.0,-7.772064,0.188477
00:29.26,-163.543701,204.0,-7.543701,0.182883
00:29.28,-163.318954,203.0,-6.31897,0.127356
00:29.29,-163.09671,203.0,-6.09671,0.146861
00:29.31,-162.874985,202.0,-4.875,0.091332
00:29.32,-162.652222,201.0,-3.652222,0.060736
00:35.80,-14.046946,3.0,-17.046946,0.761042
00:35.82,-14.450973,3.0,-17.450974,0.446375
00:35.84,-14.875322,4.0,-18.875322,0.507492
00:35.85,-15.309645,3.0,-18.309645,0.443599
00:35.87,-15.757509,3.0,-18.757509,0.480134
00:35.88,-16.219065,2.0,-18.219065,0.442015
00:35.90,-16.695469,1.0,-17.695469,0.429297
00:35.92,-17.186913,0.0,-17.186913,0.416959
00:35.93,-17.693312,359.0,-16.693298,0.404992
00:35.95,-18.215384,358.0,-16.215393,0.393437
00:35.96,-18.752947,356.0,-14.75296,0.332263
00:35.98,-19.305698,355.0,-14.305695,0.346461
00:36.00,-19.873207,353.0,-12.873199,0.286018
00:36.01,-20.455748,351.0,-11.45575,0.250957
00:36.03,-21.052599,350.0,-11.052612,0.266237
00:36.04,-21.663971,348.0,-9.663971,0.206883
00:36.06,-22.289268,346.0,-8.289276,0.172865
00:36.08,-22.928059,345.0,-7.92807,0.189172
00:36.09,-23.580982,343.0,-6.580994,0.130848
00:37.36,30.580013,0.0,30.580013,1.5
00:37.37,32.1656,0.0,32.1656,0.84378
00:37.39,33.885094,359.0,34.885101,0.940115
00:37.40,35.718246,0.0,35.718246,0.913785
00:37.42,37.691677,0.0,37.691677,0.991628
00:37.44,15.045712,1.0,14.045712,0.240006
00:37.45,15.422815,2.0,13.422815,0.319998
00:37.47,15.802654,3.0,12.802654,0.304562
00:37.48,16.190708,5.0,11.190708,0.239469
00:37.50,16.585461,7.0,9.585461,0.199505
00:37.52,16.985876,8.0,8.985876,0.209657
00:37.53,17.391476,10.0,7.391476,0.144927
00:37.55,17.801641,11.0,6.801641,0.155295
00:37.56,18.215343,13.0,5.215343,0.090726
00:37.58,18.631969,15.0,3.631969,0.051215
00:37.60,19.050264,16.0,3.050264,0.061714
00:38.62,-6.068068,10.0,-16.068068,0.87966
00:38.64,-6.154979,9.0,-15.154979,0.356047
00:38.65,-6.249445,8.0,-14.249445,0.333598
00:38.67,-6.345236,6.0,-12.345236,0.261026
00:38.68,-6.443648,4.0,-10.443647,0.213551
00:38.70,-6.543593,2.0,-8.543592,0.166088
00:38.72,-6.644275,1.0,-7.644275,0.168624
00:38.73,-6.744824,359.0,-5.744812,0.096134
00:38.75,-6.844302,357.0,-3.844299,0.048595
00:38.76,-6.941254,355.0,-1.941254,0.000955
00:38.78,-7.035026,353.0,-0.035034,0.04678
00:38.80,-7.124374,351.0,1.875641,0.094658
