Times,I Value,J Value
00:02.99,3265.102051,659.834656
00:03.00,3273.227051,659.219238
00:03.02,3281.387939,658.580933
00:03.04,3289.584717,657.920166
00:03.05,3297.817139,657.236084
00:03.07,3306.085205,656.529175
00:03.08,3314.388916,655.798645
00:03.10,3322.727783,655.043823
00:03.12,3331.102051,654.265137
00:03.13,3339.511475,653.462952
00:03.15,3347.956055,652.636475
00:03.16,3356.435303,651.785034
00:03.18,3364.949463,650.909119
00:03.20,3373.499512,650.016602
00:03.21,3382.085449,649.107361
00:03.23,3390.707520,648.182312
00:03.24,3399.365234,647.241150
00:03.26,3408.058838,646.284729
00:03.28,3416.788574,645.313782
00:03.29,3425.554443,644.330078
00:03.31,3434.356445,643.334106
00:03.32,3443.194824,642.327576
00:03.34,3452.069580,641.311829
00:03.36,3460.980957,640.288269
00:03.37,3469.929199,639.258179
00:03.39,3478.914307,638.223877
00:03.40,3487.936279,637.186279
00:03.42,3496.995605,636.147461
00:03.44,3506.092041,635.108276
00:03.45,3515.225830,634.070618
00:03.47,3524.396973,633.036194
00:03.48,3533.605469,632.006714
00:03.50,3542.851562,630.983643
00:03.52,3552.134766,629.963013
00:03.53,3561.455566,628.950989
00:03.55,3570.813965,627.948853
00:03.56,3580.209961,626.957886
00:03.58,3589.643311,625.978210
00:03.60,3599.114014,625.011108
00:03.61,3608.622070,624.053345
00:03.63,3618.167480,623.109497
00:03.64,3627.750000,622.180725
00:03.66,3637.369873,621.268005
00:03.68,3647.026855,620.371277
00:03.69,3656.720947,619.491516
00:03.71,3666.451904,618.625366
00:03.72,3676.219727,617.777161
00:03.74,3686.024414,616.947937
00:03.76,3695.865723,616.137390
00:03.77,3705.743408,615.346497
00:03.79,3715.657715,614.574951
00:03.80,3725.608398,613.823669
00:03.82,3735.595215,613.093567
00:03.84,3745.618164,612.384216
00:03.85,3755.677002,611.700989
00:03.87,3765.771484,611.044373
00:03.88,3775.899902,610.427002
00:03.90,3786.063232,609.841187
00:03.92,3796.261230,609.288208
00:03.93,3806.493164,608.775024
00:03.95,3816.758545,608.303528
00:03.96,3827.057617,607.871216
00:03.98,3837.389893,607.480164
00:04.00,3847.754150,607.137939
00:04.01,3858.149902,606.847168
00:04.03,3868.232910,606.616211
00:04.04,3878.003418,606.441223
00:04.06,3887.459473,606.328369
00:04.08,3896.601318,606.272827
00:04.09,3905.427490,606.278748
00:04.11,3913.939209,606.340637
00:04.12,3922.134766,606.460999
00:04.14,3930.360840,606.643799
00:04.16,3938.616943,606.889771
00:04.17,3946.902832,607.198486
00:04.19,3955.217529,607.570862
00:04.20,3963.560791,608.007629
00:04.22,3971.931885,608.508423
