Times,Angle,Cur,Diff,Control
00:14.03,-16.986326,326.0,17.013672,0.850684
00:14.04,-16.618013,327.0,16.381989,0.393758
00:19.68,134.779877,96.0,38.779877,1.5
00:19.69,136.083984,97.0,39.083984,0.984702
00:19.71,137.367523,98.0,39.367523,0.991277
00:19.72,138.622696,99.0,39.622696,0.996947
00:19.74,139.853683,100.0,39.853683,1.002117
00:19.76,141.060638,102.0,39.060638,0.95669
00:19.77,142.243652,103.0,39.243652,0.985667
00:19.79,143.402893,104.0,39.402893,0.989053
00:19.80,144.538818,106.0,38.538818,0.941869
00:19.82,145.650772,107.0,38.650772,0.969068
00:19.84,146.738419,109.0,37.738419,0.920652
00:19.85,147.802063,110.0,37.802063,0.946643
00:19.87,148.840576,112.0,36.840576,0.896977
00:19.88,149.855057,114.0,35.855057,0.871738
00:19.90,150.846085,115.0,35.846085,0.895928
00:19.92,151.814972,117.0,34.814972,0.844597
00:19.93,152.762543,119.0,33.762543,0.817753
00:19.95,153.689911,120.0,33.689911,0.840432
00:19.96,154.598114,122.0,32.598114,0.787658
00:19.98,155.488754,123.0,32.488754,0.809485
00:20.00,156.361847,125.0,31.361847,0.755874
00:20.01,157.218964,127.0,30.218964,0.726902
00:20.03,158.060516,128.0,30.060516,0.747552
00:20.04,158.887787,130.0,28.887787,0.692876
00:20.06,159.701202,132.0,27.701202,0.662865
00:20.08,160.5009,133.0,27.5009,0.682515
00:20.09,161.288162,135.0,26.288162,0.626886
00:20.11,162.063354,137.0,25.063354,0.595964
00:20.12,162.826492,138.0,24.826492,0.614741
00:20.14,163.578598,140.0,23.578598,0.558268
00:20.16,164.314606,141.0,23.314606,0.576265
00:20.17,165.034836,143.0,22.034836,0.518877
00:20.19,165.740356,145.0,20.740356,0.486147
00:33.74,98.231682,56.0,42.231682,1.5
00:33.76,101.867271,58.0,43.867271,1.137572
00:33.77,105.523705,60.0,45.523705,1.179503
00:33.79,109.16729,62.0,47.16729,1.220272
00:33.80,112.780121,64.0,48.780121,1.259824
00:33.82,116.341248,66.0,50.341248,1.297559
00:33.84,119.832108,68.0,51.832108,1.333074
00:33.85,123.235695,70.0,53.235695,1.365982
00:33.87,126.538406,72.0,54.538406,1.396028
00:33.88,129.728638,74.0,55.728638,1.422972
00:33.90,132.798584,76.0,56.798584,1.446713
00:34.11,128.606812,93.0,35.606812,0.360376
00:34.12,129.722824,94.0,35.722824,0.895971
00:34.14,130.812576,94.0,36.812576,0.947558
00:34.16,131.878815,95.0,36.878815,0.923626
00:34.17,132.918457,96.0,36.918457,0.923952
00:34.19,133.931885,97.0,36.931885,0.923633
00:34.20,134.919846,98.0,36.919846,0.922695
00:34.22,135.883041,99.0,36.883041,0.921156
00:34.24,136.822205,100.0,36.822205,0.919034
00:34.25,137.737686,101.0,36.737686,0.916329
00:34.27,138.630051,102.0,36.630051,0.91306
00:34.28,139.49968,103.0,36.49968,0.909233
00:34.30,140.346802,105.0,35.346802,0.854848
00:34.32,141.171509,106.0,35.171509,0.874905
00:34.33,141.973633,108.0,33.973633,0.819394
00:34.35,142.753784,109.0,33.753784,0.838348
00:34.36,143.512482,110.0,33.512482,0.831779
