[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1648317760
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1865347616
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1865347616
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1865347616
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1865347616
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1865347616
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647115008
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647114880
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647081408
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1679392160
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647114880
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647081408
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1679392160
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1865347616
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647081408
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647115008
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647114880
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1679392160
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647115008
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1647081408
[SYS: 2024-11-23 14:36:36][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=1651016528
