assist,bot,lag,completion_time_mean,completion_time_std,control_mean,control_std,angle_error_mean,angle_error_std
0.5,bot1,0,47.66,,0.2634173757374631,,20.662243244100296,
0.5,bot1,10,52.49,,0.4939057436460621,,82.72469693128333,
0.5,bot1,20,52.48,,0.45184064328859064,,48.686030020134226,
0.5,bot1,30,52.48,,0.4572095414402174,,49.267424752377714,
0.5,bot1,40,52.52,,0.47533958581606217,,68.02856255051813,
0.5,bot1,50,50.92,,0.39351012272220154,,54.678836481963565,
0.5,bot1,60,52.51,,0.47601535477582846,,68.52454052956466,
0.5,bot1,70,52.51,,0.46094495285669684,,81.6073744399001,
0.5,bot1,80,52.49,,0.4762340143266476,,171.66272558771092,
0.5,bot1,90,52.51,,0.477995676957352,,176.25794371896882,
0.5,bot1,100,52.51,,0.42301533485593823,,106.40470231939564,
0.5,bot1,110,52.49,,0.4669405399440473,,172.69721286882188,
0.5,bot1,120,52.54,,0.47435437900874633,,356.06937286038226,
0.5,bot1,130,52.49,,0.4727628333881039,,267.42516328984556,
0.5,bot1,140,52.49,,0.47450763779781063,,354.4196261104314,
0.5,bot1,150,52.51,,0.4929276461211477,,94.26681758342188,
0.5,bot1,160,52.51,,0.4874753696774194,,645.3141131916128,
0.5,bot1,170,52.52,,0.4743149252336449,,541.391622893329,
0.5,bot1,180,52.51,,0.47312041475990974,,541.1844877257492,
0.5,bot1,190,52.49,,0.4656914695259593,,543.8111623447276,
0.5,bot1,200,52.52,,0.48430068384754993,,434.2393629655173,
0.5,bot1,210,52.52,,0.4710025372062663,,546.6000043097259,
0.5,bot1,220,52.54,,0.4705393031704095,,325.34012152113604,
0.5,bot1,230,52.49,,0.49188053252032515,,546.2254150919325,
0.5,bot1,240,52.51,,0.47184705507051716,,52.190532910678314,
0.5,bot1,250,52.51,,0.48318617362393795,,67.6345443420761,
0.5,bot1,260,52.51,,0.4644230220707562,,51.30983225283998,
0.5,bot1,270,52.52,,0.4880635164698571,,566.6521136575512,
0.5,bot1,280,52.51,,0.488283982576229,,566.3854355444929,
0.5,bot1,290,52.51,,0.4869682574288396,,503.9187453337504,
0.5,bot1,300,52.51,,0.4726502584507043,,545.6212102299295,
0.5,bot2,0,47.64,,0.24569223867069487,,19.372510733467607,
0.5,bot2,10,52.46,,0.24741393841463416,,19.469034600304877,
0.5,bot2,20,52.44,,0.24889590667886552,,19.545003211954864,
0.5,bot2,30,52.46,,0.24560542652439027,,19.38100851554878,
0.5,bot2,40,52.51,,0.2471424441060006,,19.277563196771244,
0.5,bot2,50,52.46,,0.2866282149390244,,23.79458972286585,
0.5,bot2,60,52.49,,0.251354578305911,,19.74430764046313,
0.5,bot2,70,52.48,,0.2566696845473941,,20.194175192319413,
0.5,bot2,80,52.48,,0.2522974657116733,,19.817307809814082,
0.5,bot2,90,52.48,,0.2457599905516611,,19.233568737580008,
0.5,bot2,100,52.49,,0.2778082419256551,,23.306152817489338,
0.5,bot2,110,52.48,,0.2507636680889973,,19.739989427003962,
0.5,bot2,120,52.51,,0.24846233658239417,,19.535244119707585,
0.5,bot2,130,52.48,,0.24442428405973787,,19.28417615757391,
0.5,bot2,140,52.48,,0.2504137067967083,,19.6033819323377,
0.5,bot2,150,52.49,,0.25185520658135285,,19.825336647471055,
0.5,bot2,160,52.49,,0.252824218464351,,19.851889801645335,
0.5,bot2,170,52.51,,0.25223794913189157,,19.762684230886382,
0.5,bot2,180,52.48,,0.25218244955806157,,19.738057347455044,
0.5,bot2,190,52.46,,0.2498094911585366,,19.7251342125,
0.5,bot2,200,52.51,,0.2559077212915017,,20.073198856229055,
0.5,bot2,210,52.51,,0.2410803505939689,,18.77351712062138,
0.5,bot2,220,52.51,,0.24780664971063052,,19.407014257386535,
