assist,bot,lag,completion_time_mean,completion_time_std,control_mean,control_std,angle_error_mean,angle_error_std
1.5,bot2,40,44.41,,0.2826659899171768,,7.282394033489378,
1.5,bot2,50,43.61,,0.2763239328932893,,7.137043964429776,
1.5,bot2,60,44.6,,0.277370678020796,,7.168595845464322,
1.5,bot2,70,45.93,,0.2816335860027855,,7.240235277506965,
1.5,bot2,80,43.84,,0.2920962199927034,,7.508272509303174,
1.5,bot2,90,45.4,,0.27640750792532587,,7.107805234941878,
1.5,bot2,100,43.95,,0.27711229112081515,,7.154632033114991,
1.5,bot2,110,48.51,,0.2866343428948236,,7.425131815034619,
1.5,bot2,120,47.44,,0.27705937795010116,,7.1240465906945385,
1.5,bot2,130,48.09,,0.29612593481875626,,7.657597504156967,
1.5,bot2,140,49.55,,0.2828003092317624,,7.30482114590058,
1.5,bot2,150,48.06,,0.29129481597337775,,7.502269475873544,
1.5,bot2,160,50.65,,0.29275256078307543,,7.520378728765393,
1.5,bot2,170,52.46,,0.2780164286585366,,7.172700703353659,
1.5,bot2,180,52.49,,0.2909552861060329,,7.495237343083485,
1.5,bot2,190,52.48,,0.2817686053032612,,7.246596078634562,
1.5,bot2,200,52.49,,0.27495727391834246,,7.095809454905545,
1.5,bot2,210,52.49,,0.2809995514929921,,7.235418359232177,
1.5,bot2,220,52.48,,0.27996430661383725,,7.2388960682718695,
1.5,bot2,230,47.39,,0.2777338052649342,,7.152356753290584,
1.5,bot2,240,52.48,,0.2814465166107894,,7.253143844254801,
1.5,bot2,250,52.48,,0.27272590612618103,,7.025857577567816,
1.5,bot2,260,52.48,,0.2775024349283755,,7.161132124352334,
1.5,bot2,270,52.48,,0.2797214596159707,,7.178204395001524,
1.5,bot2,280,52.49,,0.27611556185252895,,7.087826209323584,
1.5,bot2,290,52.49,,0.27861460786106035,,7.192336396404632,
1.5,bot2,300,52.49,,0.2847057934186472,,7.337673419256552,
