Run,Player_Avg_Control,Player_Control_StdDev,Bot_Avg_Control,Bot_Control_StdDev,Player_Completion_Time,Bot_Completion_Time
1,0.2830249823217443,0.261465445782953,0.26311081167789535,0.24787490078843066,49.85,49.85
2,0.301352167981303,0.3172647809655257,0.26621624904701396,0.24515139465449073,50.35,50.35
3,0.31409604674556213,0.36716132721067535,0.26841170093457944,0.24277467809598294,49.63,49.63
4,0.23370812477718358,0.2267744294602899,0.27148365706890976,0.25732489082378585,49.44,49.44
5,0.25256271668632074,0.21092068286690704,0.26799466506256014,0.24188518641276585,49.85,49.85
