[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028129888
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2031706448
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2031706448
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2031706448
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2031706448
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:01][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2031706448
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027829360
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2087608656
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028706352
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027758288
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027864784
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028379056
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=0
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028207952
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2029004624
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027996864
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027509648
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028709808
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027926656
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028599632
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028283856
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027887232
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027758288
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028052064
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027763696
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028378720
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028203168
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028201136
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028207952
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2029004624
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027996864
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028544976
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:02][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028325616
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2029049264
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028534064
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027758288
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027864784
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028379056
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028201376
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028201136
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028210416
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027025808
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2027509648
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2072805984
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028338448
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028232976
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2028423904
[SYS: 2024-11-23 14:40:03][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=2060192336
