[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-232650480
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:44][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
[SYS: 2025-02-02 17:00:45][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=180032096
