[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1295951824
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=721781344
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=721781344
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=721781344
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=721781344
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=721781344
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1260234384
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1297404000
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1277188656
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1275507840
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1275739616
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1277188656
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1242327168
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1241971328
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1276361072
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1297404000
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1297240896
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1276251504
[SYS: 2024-11-24 16:42:56][GAME: 00:00.00] isOffTrack check: left=0, right=0, total=-1278078448
