Run,Player_Avg_Control,Player_Control_StdDev,Bot_Avg_Control,Bot_Control_StdDev,Player_Completion_Time,Bot_Completion_Time
1,0.2333616861575179,0.20814617810658392,0.26719831306892067,0.2452285938801064,49.2,49.2
2,0.2502262227178115,0.22343892484206837,0.2580322394685677,0.24797641757492458,49.36,49.36
3,0.24528951547303268,0.21743716429537818,0.26325031215912736,0.2580728337195856,49.85,49.85
4,0.3441919185770751,0.38142228668966843,0.24275470142045452,0.24817539040209777,56.3,56.3
5,0.22348489075127206,0.20395963847655096,0.2611714101141925,0.2618446816513991,49.02,49.02
