Times,Angle,Cur,Diff,Control
00:05.13,83.11528,57.0,26.11528,1.305764
00:05.15,84.911133,59.0,25.911133,0.642675
00:05.16,86.733543,61.0,25.733543,0.638899
00:05.18,88.581238,63.0,25.581238,0.635723
00:05.20,90.45285,65.0,25.45285,0.633112
00:05.21,92.346535,67.0,25.346535,0.631005
00:05.23,94.260536,69.0,25.260536,0.629363
00:05.24,96.192871,71.0,25.192871,0.62813
00:05.26,98.141418,73.0,25.141418,0.627249
00:05.28,100.104095,75.0,25.104095,0.626669
00:05.29,102.078705,77.0,25.078705,0.626333
00:05.31,104.063148,79.0,25.063148,0.62619
00:05.32,106.055519,81.0,25.055519,0.626197
00:05.34,108.05439,83.0,25.05439,0.626332
00:05.36,110.058678,84.0,26.058678,0.676574
00:05.37,112.06739,86.0,26.06739,0.651903
00:05.39,114.0802,88.0,26.0802,0.652325
00:05.40,116.096542,89.0,27.096542,0.702822
00:05.42,118.116188,91.0,27.116188,0.678396
00:20.75,155.027451,142.0,13.027451,0.026532
00:20.76,155.272415,143.0,12.272415,0.287934
00:20.78,155.518936,144.0,11.518936,0.269136
00:20.80,155.76619,145.0,10.76619,0.250336
00:21.76,171.27272,185.0,-13.72728,0.955519
00:21.77,171.113937,183.0,-11.886063,0.251121
00:21.79,170.959412,181.0,-10.040588,0.204878
00:21.80,170.809952,179.0,-8.190048,0.158488
00:21.82,170.662399,178.0,-7.337601,0.162129
00:21.84,170.517517,176.0,-5.482483,0.090684
00:21.85,170.375946,175.0,-4.624054,0.094141
00:21.87,170.238098,174.0,-3.761902,0.072494
00:21.88,170.104492,173.0,-2.895508,0.050728
00:21.90,169.975342,172.0,-2.024658,0.028845
00:21.92,169.850937,172.0,-2.149063,0.056837
00:21.93,169.7314,171.0,-1.2686,0.009703
00:21.95,169.616776,170.0,-0.383224,0.012554
00:21.96,169.507095,170.0,-0.492905,0.015065
00:21.98,169.402267,170.0,-0.597733,0.017564
00:22.00,169.302139,169.0,0.302139,0.03005
00:22.01,169.206573,169.0,0.206573,0.002775
00:22.03,169.115295,169.0,0.115295,0.0006
00:22.04,169.028,169.0,0.028,0.001482
00:22.06,168.944443,169.0,-0.055557,0.003478
00:22.08,168.864258,169.0,-0.135742,0.005398
00:22.09,168.787186,169.0,-0.212814,0.007247
00:22.11,168.71286,169.0,-0.28714,0.009037
