Times,Angle,Cur,Diff,Control
00:12.92,-45.624355,267.0,47.375641,1.5
00:12.94,-44.150505,268.0,47.849487,1.208083
00:12.96,-42.710793,270.0,47.289215,1.168224
00:12.97,-41.304684,271.0,47.695312,1.202535
00:12.99,-39.93153,273.0,47.068481,1.161041
00:13.00,-38.590519,274.0,47.409485,1.193762
00:13.02,-37.280846,275.0,47.719147,1.20072
00:13.04,-36.001736,276.0,47.99826,1.206934
00:13.05,-34.752262,278.0,47.247742,1.162431
00:13.07,-33.531418,279.0,47.468567,1.192235
00:13.08,-32.338322,280.0,47.661682,1.19637
00:13.10,-31.172014,281.0,47.827972,1.199857
00:13.12,-30.031513,282.0,47.968475,1.202725
00:13.13,-28.915916,283.0,48.084076,1.204992
00:13.15,-27.824152,284.0,48.175842,1.20669
00:13.16,-26.755386,285.0,48.244629,1.207835
00:13.18,-25.708763,286.0,48.291229,1.208446
00:13.20,-24.683495,287.0,48.316498,1.208544
00:13.21,-23.678619,288.0,48.321381,1.208157
00:13.23,-22.693436,290.0,47.30658,1.157295
00:13.24,-21.7272,291.0,47.272797,1.180975
00:13.26,-20.779409,292.0,47.220581,1.179209
00:13.28,-19.849192,293.0,47.150818,1.177026
00:13.29,-18.935211,294.0,47.064789,1.174469
00:13.31,-18.036142,295.0,46.963867,1.171574
00:13.32,-17.150366,297.0,45.84964,1.118385
00:13.34,-16.276358,298.0,45.723633,1.139941
00:13.36,-15.412735,299.0,45.58728,1.136273
00:13.37,-14.558254,300.0,45.441742,1.132405
00:13.39,-13.702458,301.0,45.297546,1.128834
00:13.40,-12.844493,302.0,45.155518,1.125337
00:13.42,-11.983102,303.0,45.016907,1.121957
00:13.44,-11.117011,303.0,45.882996,1.168727
00:13.45,-10.244864,304.0,45.755127,1.140682
00:13.47,-9.365227,304.0,46.634766,1.18786
00:13.48,-8.476615,305.0,46.523376,1.1603
00:13.50,-7.57878,305.0,47.421234,1.207977
00:13.52,-6.671284,305.0,48.328705,1.230904
00:13.53,-5.753544,306.0,48.24646,1.204105
00:13.55,-26.486601,306.0,27.513397,0.169508
00:13.56,-26.13195,306.0,27.868042,0.705567
00:13.58,-25.775463,306.0,28.224548,0.714526
00:13.60,-25.416601,306.0,28.583405,0.723557
00:13.61,-25.054741,306.0,28.945251,0.732678
00:13.63,-24.68919,306.0,29.310822,0.74191
00:13.64,-24.319387,306.0,29.680603,0.75126
00:13.66,-23.944687,306.0,30.055298,0.76075
00:13.68,-23.564461,306.0,30.435547,0.770395
00:13.69,-23.178099,306.0,30.821899,0.780206
00:13.71,-22.784889,306.0,31.215118,0.790208
00:13.72,-22.384268,306.0,31.615723,0.800408
00:13.74,-21.975641,306.0,32.024353,0.810825
00:13.76,-21.558321,306.0,32.441681,0.821475
00:13.77,-21.131636,306.0,32.868378,0.832377
00:13.79,-20.695017,306.0,33.304993,0.84354
00:13.80,-20.247776,306.0,33.752228,0.854987
00:13.82,-19.789339,306.0,34.210663,0.866727
00:13.84,-19.319885,306.0,34.680115,0.878739
00:13.85,-18.839569,306.0,35.160431,0.891019
00:13.87,-18.348425,306.0,35.651581,0.903568
00:13.88,-17.846455,306.0,36.153534,0.916387
00:13.90,-17.333595,306.0,36.666412,0.929482
00:13.92,-16.810152,307.0,36.18985,0.892832
00:13.93,-16.276176,307.0,36.723816,0.931445
00:13.95,-15.731747,308.0,36.26825,0.895317
00:14.30,-2.412651,343.0,14.587341,0.177339
00:14.32,-1.806667,344.0,14.193329,0.344983
00:14.33,-1.205008,346.0,12.794983,0.284916
00:14.35,-0.608941,348.0,11.391052,0.249678
00:14.36,-0.019858,350.0,9.980133,0.21423
00:14.38,0.560758,352.0,8.56076,0.178535
00:14.40,1.13146,354.0,7.13147,0.142554
00:14.41,1.690556,356.0,5.690552,0.106241
00:14.43,2.248527,357.0,5.248535,0.120163
00:14.44,2.804127,359.0,3.804138,0.058994
00:14.46,3.35643,0.0,3.35643,0.072718
00:14.48,3.904906,1.0,2.904906,0.061335
00:14.49,4.449419,2.0,2.449419,0.049848
00:14.51,4.986093,3.0,1.986093,0.038069
00:14.52,5.515184,4.0,1.515184,0.026107
00:35.58,154.678589,184.0,-29.321411,1.5
00:35.60,155.316101,185.0,-29.683899,0.75116
00:35.61,155.689545,186.0,-30.310455,0.773425
00:35.63,156.000046,186.0,-29.999954,0.742236
00:35.64,156.296158,187.0,-30.703842,0.785193
00:36.25,139.559464,208.0,-68.440536,1.5
00:36.27,138.524872,209.0,-70.475128,1.5
00:36.28,137.461807,209.0,-71.538193,1.5
00:36.30,136.371048,209.0,-72.628952,1.5
00:36.32,135.253418,210.0,-74.746582,1.5
00:36.33,134.109741,210.0,-75.890259,1.5
00:36.35,171.228287,210.0,-38.771713,0.041329
00:36.36,171.094727,210.0,-38.905273,0.975971
00:36.38,170.95929,209.0,-38.04071,0.929404
00:36.40,170.822205,209.0,-38.177795,0.957872
00:36.41,170.683594,209.0,-38.316406,0.961375
00:36.43,170.543655,208.0,-37.456345,0.914907
00:36.44,170.402588,207.0,-36.597412,0.893462
00:36.46,170.26062,207.0,-36.73938,0.922034
00:36.48,170.117981,206.0,-35.882019,0.875616
00:36.49,169.974869,205.0,-35.025131,0.854206
00:36.51,169.831635,204.0,-34.168365,0.83279
00:36.52,169.688446,203.0,-33.311554,0.811369
00:36.54,169.545639,201.0,-31.454361,0.739929
00:36.56,169.403473,200.0,-30.596527,0.743467
00:36.57,169.262268,199.0,-29.737732,0.721973
00:36.59,169.122284,198.0,-28.877716,0.700442
