Times,Angle,Cur,Diff,Control
00:26.00,-90.08403,242.0,27.915955,1.395798
00:26.01,-87.894943,244.0,28.105042,0.707353
00:26.03,-85.682327,246.0,28.317688,0.713258
00:26.04,-83.450073,248.0,28.549927,0.719554
00:26.06,-81.2024,250.0,28.797607,0.726132
00:26.08,-78.943832,252.0,29.056152,0.732867
00:26.09,-76.678909,254.0,29.321106,0.739652
00:26.11,-74.412209,256.0,29.587799,0.746362
00:26.12,-72.148407,257.0,30.851593,0.802885
00:26.14,-69.892258,259.0,31.107727,0.784097
00:26.16,-67.648277,261.0,31.351715,0.789893
00:26.17,-65.420853,262.0,32.579163,0.845165
00:26.19,-63.214211,264.0,32.785797,0.824811
00:26.20,-61.032478,265.0,33.967529,0.878732
00:26.22,-58.879322,267.0,34.120667,0.856845
00:26.24,-56.757755,268.0,35.242249,0.909096
00:26.25,-54.670227,270.0,35.329773,0.885432
00:26.27,-52.618526,271.0,36.38147,0.935829
00:26.28,-50.603729,272.0,37.396271,0.960277
00:27.76,-27.424881,303.0,29.575134,0.54385
00:27.77,-27.054852,304.0,28.94516,0.70788
00:27.79,-26.675617,305.0,28.324371,0.69259
00:27.80,-26.28759,305.0,28.712402,0.727511
00:27.82,-25.89114,306.0,28.108856,0.687633
00:27.84,-25.486727,307.0,27.513275,0.672942
00:27.85,-25.075912,308.0,26.924072,0.658372
00:27.87,-24.659357,310.0,25.340637,0.59393
00:27.88,-24.237762,311.0,24.762238,0.604596
00:27.90,-23.811962,312.0,24.188049,0.590347
00:27.92,-23.382832,314.0,22.617157,0.526157
00:27.93,-22.951368,315.0,22.048645,0.537003
00:27.95,-22.518719,317.0,20.481293,0.472849
00:27.96,-22.086094,319.0,18.91391,0.433663
00:27.98,-21.654615,321.0,17.345398,0.394422
00:28.00,-21.225536,322.0,16.774475,0.405089
00:28.01,-20.800135,324.0,15.19986,0.340631
00:28.03,-20.379858,326.0,13.620148,0.301011
00:28.04,-19.966169,328.0,12.033844,0.261189
00:28.06,-19.5606,330.0,10.439392,0.221124
00:28.08,-19.164667,332.0,8.835327,0.180782
00:28.09,-18.776693,334.0,7.223297,0.140282
00:28.11,-18.398216,336.0,5.601776,0.099506
00:28.12,-18.034184,338.0,3.96582,0.058247
00:28.14,-17.686335,340.0,2.31366,0.016537
00:28.16,-17.356293,342.0,0.643707,0.025656
00:28.17,-17.046009,344.0,-1.046021,0.068394
00:28.59,-7.019401,16.0,-23.019402,1.12482
00:28.60,-7.154382,16.0,-23.154381,0.582234
00:28.62,-7.297746,16.0,-23.297747,0.586028
00:28.64,-7.449254,16.0,-23.449253,0.590019
00:28.65,-7.608787,16.0,-23.608788,0.594208
00:28.67,-7.775541,16.0,-23.775541,0.598557
