isOffTrack check: left=0, right=0, total=1243953520
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1259300352
isOffTrack check: left=0, right=0, total=1289992656
isOffTrack check: left=0, right=0, total=1243953520
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1245612912
isOffTrack check: left=0, right=0, total=1289992656
isOffTrack check: left=0, right=0, total=1243953520
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1245758176
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1289807312
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1245758176
isOffTrack check: left=0, right=0, total=1224481360
isOffTrack check: left=0, right=0, total=1290076560
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1245758176
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1224574864
isOffTrack check: left=0, right=0, total=1281031376
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1245577472
isOffTrack check: left=0, right=0, total=1224441344
isOffTrack check: left=0, right=0, total=1289981968
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1243981600
isOffTrack check: left=0, right=0, total=1221900000
isOffTrack check: left=0, right=0, total=1259841232
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1221900000
isOffTrack check: left=0, right=0, total=1221900000
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1261723104
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1278810192
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1261723104
isOffTrack check: left=0, right=0, total=1289886496
isOffTrack check: left=0, right=0, total=1261202448
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1261723104
isOffTrack check: left=0, right=0, total=1224481360
isOffTrack check: left=0, right=0, total=1224481360
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1224012176
isOffTrack check: left=0, right=0, total=1224012176
